id,doctor_id,datetime,is_available
0,0,2026-07-01 8:00 AM,0
1,0,2026-07-01 8:30 AM,1
2,0,2026-07-01 9:00 AM,0
3,0,2026-07-01 9:30 AM,0
4,0,2026-07-01 10:00 AM,1
5,0,2026-07-01 10:30 AM,0
6,0,2026-07-01 11:00 AM,0
7,0,2026-07-01 11:30 AM,0
8,0,2026-07-01 12:00 PM,1
9,0,2026-07-01 12:30 PM,0
10,0,2026-07-01 1:00 PM,0
11,0,2026-07-01 1:30 PM,1
12,0,2026-07-01 2:00 PM,0
13,0,2026-07-01 2:30 PM,1
14,0,2026-07-01 3:00 PM,1
15,0,2026-07-01 3:30 PM,1
16,0,2026-07-01 4:00 PM,1
17,0,2026-07-01 4:30 PM,1
18,0,2026-07-01 5:00 PM,0
19,0,2026-07-01 5:30 PM,1
20,1,2026-07-01 8:00 AM,1
21,1,2026-07-01 8:30 AM,1
22,1,2026-07-01 9:00 AM,0
23,1,2026-07-01 9:30 AM,0
24,1,2026-07-01 10:00 AM,0
25,1,2026-07-01 10:30 AM,0
26,1,2026-07-01 11:00 AM,1
27,1,2026-07-01 11:30 AM,0
28,1,2026-07-01 12:00 PM,1
29,1,2026-07-01 12:30 PM,1
30,1,2026-07-01 1:00 PM,1
31,1,2026-07-01 1:30 PM,1
32,1,2026-07-01 2:00 PM,0
33,1,2026-07-01 2:30 PM,1
34,1,2026-07-01 3:00 PM,1
35,1,2026-07-01 3:30 PM,1
36,1,2026-07-01 4:00 PM,1
37,1,2026-07-01 4:30 PM,1
38,1,2026-07-01 5:00 PM,1
39,1,2026-07-01 5:30 PM,1
40,2,2026-07-01 8:00 AM,1
41,2,2026-07-01 8:30 AM,1
42,2,2026-07-01 9:00 AM,0
43,2,2026-07-01 9:30 AM,0
44,2,2026-07-01 10:00 AM,0
45,2,2026-07-01 10:30 AM,1
46,2,2026-07-01 11:00 AM,1
47,2,2026-07-01 11:30 AM,0
48,2,2026-07-01 12:00 PM,1
49,2,2026-07-01 12:30 PM,1
50,2,2026-07-01 1:00 PM,1
51,2,2026-07-01 1:30 PM,0
52,2,2026-07-01 2:00 PM,0
53,2,2026-07-01 2:30 PM,0
54,2,2026-07-01 3:00 PM,1
55,2,2026-07-01 3:30 PM,1
56,2,2026-07-01 4:00 PM,1
57,2,2026-07-01 4:30 PM,1
58,2,2026-07-01 5:00 PM,1
59,2,2026-07-01 5:30 PM,1
60,3,2026-07-01 8:00 AM,0
61,3,2026-07-01 8:30 AM,1
62,3,2026-07-01 9:00 AM,0
63,3,2026-07-01 9:30 AM,1
64,3,2026-07-01 10:00 AM,1
65,3,2026-07-01 10:30 AM,1
66,3,2026-07-01 11:00 AM,1
67,3,2026-07-01 11:30 AM,1
68,3,2026-07-01 12:00 PM,1
69,3,2026-07-01 12:30 PM,1
70,3,2026-07-01 1:00 PM,1
71,3,2026-07-01 1:30 PM,1
72,3,2026-07-01 2:00 PM,1
73,3,2026-07-01 2:30 PM,1
74,3,2026-07-01 3:00 PM,1
